"ims_org_id","pred.y"
"INS00000969",1059014.21012427
"INS00005948",7536568.97708107
"INS00006685",329409.90731148
"INS00366409",2356421.03479141
"INS00506290",488523.616648889
"INS00601960",328999.793107073
"INS00000963",4518670.02272373
"INS00005444",4557612.60467587
"INS00001482",694491.941398134
"INS00001541",377391.986098793
"INS00002537",432409.602381199
"INS00005889",4361852.2628474
"INS00001063",602433.099533099
"INS00002505",883899.168497364
"INS00001060",16985669.7637917
"INS00001061",1571377.03276086
"INS00001065",328569.636980376
"INS00001463",712047.212429114
"INS00536630",329363.662241785
"INS00001059",462932.049824803
"INS00001066",470429.039747944
"INS00001462",3404501.37123654
"INS00005888",707905.113155028
"INS00006684",330971.470122033
"INS00001537",477287.470686189
"INS00002514",1185146.78816618
"INS00002525",378668.417947576
"INS00002540",328966.40235671
"INS00006817",606286.009296261
"INS00261763",336580.892895738
"INS01078427",336946.174952254
"INS00001064",421720.347861539
"INS00001068",417408.747461336
"INS00001464",439499.89532951
"INS00002542",539167.170164838
"INS00001067",368317.941235292
"INS00001457",411711.881242728
"INS00002541",441407.480801285
"INS00001058",436301.874181587
"INS00002507",3588484.9209135
"INS00002544",330354.748976158
"INS00005887",533721.579849196
"INS00107702",9112221.30042075
"INS00582513",482708.659635448
"INS00001062",385132.111873475
